,Доходность и загрузка,,,,,,,,,,,,
,,,,,,,,,,,,,
,Валюта: RUB,,,,,,,,,,,,
,,,,,,,,,,,,,
,Период: 01.01.2025 - 31.12.2025,,,,,,,,,,,,
,,,,,,,,,,,,,
,"Категории номеров: Бунгало с зоной патио, Aфрейм, Геокупол мини, Геокупол макси 20, Зеркальный дом на дереве, Бунгало с видом на залив, Панорамная баня, Кедровая баня, Липовая баня, VIP комната на 2-ом этаже, Массажный кабинет, Джакузи, Ресторан, Ресепшен услуги, Шатер, SPA комплекс, Зеркальный дом на воде, Бунгало в лесу, Гнездо на дереве, Геокупол лес, Бунгало на берегу залива, Нео-Типи, Бунгало в лесу СПА, Мыс, Пирс, Катер, Яхта, Гидроцикл, Гео Купол Аренда, Падел теннис, САП Борд, Баня бочка, Фурако, SPA-комплекс, Зона патио с 2-мя бунгало, Геокупол maxi 21",,,,,,,,,,,,
,,,,,,,,,,,,,
,Дата формирования: 29.06.2026,,,,,,,,,,,,
,,,,,,,,,,,,,
,"Источник: От стойки, По звонку, Из канала продаж, Сайт гостиницы, Факс, Email, ВКонтакте, Мобильная версия сайта, Facebook, TripAdvisor, Импорт, Инстаграм, телеграм, ватсап, Камиль, Группы, Other, MICE, Leisure, Бронирование из экстранета, Яндекс.Путешествия, Мобильный экстранет",,,,,,,,,,,,
,,,,,,,,,,,,,
Дата,,Доход за проживание,Продано номероночей,,Заезд гостей,Заезд номеров,ADR,RevPar,ALS,Всего номеров,На ремонте,Всего доступно номеров,Общий % загрузки номеров
13.05.2025,,"79 550,00",10,,15,7,"7 955,00","1 657,29","4,29",55,7,48,"20,83 %"
14.05.2025,,"75 900,00",9,,18,7,"8 433,33","1 650,00","1,86",55,9,46,"19,57 %"
15.05.2025,,"229 350,00",20,,19,14,"11 467,50","4 879,79","1,00",55,8,47,"42,55 %"
16.05.2025,,"230 580,00",22,,42,18,"10 480,91","5 124,00","1,39",55,10,45,"48,89 %"
17.05.2025,,"511 700,00",45,,101,36,"11 371,11","11 123,91","1,08",57,11,46,"97,83 %"
18.05.2025,,"131 650,00",18,,22,9,"7 313,89","2 742,71","1,00",57,9,48,"37,50 %"
19.05.2025,,"104 270,00",10,,16,8,"10 427,00","2 896,39","1,38",57,21,36,"27,78 %"
20.05.2025,,"29 850,00",7,,3,1,"4 264,29","1 194,00","3,00",57,32,25,"28,00 %"
21.05.2025,,"191 315,00",22,,55,18,"8 696,14","4 449,19","1,11",57,14,43,"51,16 %"
22.05.2025,,"47 550,00",12,,10,3,"3 962,50","1 033,70","1,67",57,11,46,"26,09 %"
23.05.2025,,"188 350,00",19,,38,13,"9 913,16","4 380,23","1,31",55,12,43,"44,19 %"
24.05.2025,,"533 158,00",46,,131,41,"11 590,39","11 107,46","1,00",55,7,48,"95,83 %"
25.05.2025,,"99 300,00",11,,28,10,"9 027,27","2 026,53","1,20",55,6,49,"22,45 %"
26.05.2025,,"84 250,00",10,,23,7,"8 425,00","1 755,21","1,29",55,7,48,"20,83 %"
27.05.2025,,"182 150,00",21,,49,19,"8 673,81","5 519,70","1,58",55,22,33,"63,64 %"
28.05.2025,,"133 000,00",17,,26,10,"7 823,53","3 022,73","1,00",55,11,44,"38,64 %"
29.05.2025,,"160 950,00",19,,37,15,"8 471,05","3 498,91","1,07",55,9,46,"41,30 %"
30.05.2025,,"436 600,00",39,,95,35,"11 194,87","9 702,22","1,37",55,10,45,"86,67 %"
31.05.2025,,"573 100,00",46,,94,39,"12 458,70","12 193,62","0,95",55,8,47,"97,87 %"
июня 2025,,"10 286 547,50",811,,1525,563,"12 683,78","7 775,17","1,42",1650,327,1323,"61,30 %"
01.06.2025,,"177 700,00",14,,34,11,"12 692,86","5 077,14","1,18",55,20,35,"40,00 %"
02.06.2025,,"115 250,00",9,,15,6,"12 805,56","2 810,98","1,50",55,14,41,"21,95 %"
03.06.2025,,"112 750,00",10,,12,6,"11 275,00","2 967,11","1,33",55,17,38,"26,32 %"
04.06.2025,,"63 450,00",6,,6,3,"10 575,00","1 866,18","1,33",55,21,34,"17,65 %"
05.06.2025,,"152 650,00",12,,27,9,"12 720,83","4 125,68","1,00",55,18,37,"32,43 %"
06.06.2025,,"338 800,00",31,,62,31,"10 929,03","10 266,67","2,06",55,22,33,"93,94 %"
07.06.2025,,"338 800,00",31,,0,0,"10 929,03","10 266,67","0,00",55,22,33,"93,94 %"
08.06.2025,,"212 400,00",17,,45,14,"12 494,12","5 310,00","1,71",55,15,40,"42,50 %"
09.06.2025,,"257 750,00",19,,29,11,"13 565,79","5 994,19","1,18",55,12,43,"44,19 %"
10.06.2025,,"348 470,00",27,,67,23,"12 906,30","8 935,13","1,09",55,16,39,"69,23 %"
11.06.2025,,"519 397,50",40,,106,38,"12 984,94","12 984,94","1,18",55,15,40,"100,00 %"
12.06.2025,,"627 800,00",48,,113,42,"13 079,17","13 079,17","1,24",55,7,48,"100,00 %"
13.06.2025,,"778 650,00",55,,162,47,"14 157,27","14 157,27","1,57",55,0,55,"100,00 %"
14.06.2025,,"770 100,00",53,,61,23,"14 530,19","14 530,19","1,35",55,2,53,"100,00 %"
15.06.2025,,"296 300,00",23,,52,17,"12 882,61","7 407,50","1,06",55,15,40,"57,50 %"
16.06.2025,,"161 030,00",12,,24,9,"13 419,17","3 927,56","1,33",55,14,41,"29,27 %"
